id,country,name,sponsor,download(mbps),upload(mbps),ping(ms)
3038,Finland,Jyvaskyla,Seltimil Oy,15.78 Mbps,4.89 Mbps,292.46 ms
23317,Finland,Jyväskylä,TNNet Oy,11.45 Mbps,9.69 Mbps,429.22 ms
10585,Norway,Orsta,Tussa IKT AS,11.19 Mbps,11.66 Mbps,325.75 ms
6374,Russian Federation,Nyagan,N,telecom,6.61 Mbps,8.19 Mbps,324.64 ms
1809,Russian Federation,Nyagan,OJSC.MTS,70.44 Mbps,16.07 Mbps,324.16 ms
4480,Russia,Yakutsk,Rostelecom,26.17 Mbps,14.68 Mbps,156.99 ms
5647,Russian Federation,Yakutsk,MegaFon,6.04 Mbps,5.56 Mbps,429.45 ms
12676,Russian Federation,Yakutsk,K,Service,70.81 Mbps,32.59 Mbps,185.56 ms
21607,Russia,Yakutsk,Bridge,"Telecom, Ltd",9.87 Mbps,5.37 Mbps,451.12 ms
462,Faroe Islands,Torshavn,Faroese Telecom,9.33 Mbps,11.81 Mbps,387.28 ms
22203,Faroe Islands,Tórshavn,Hey,19.39 Mbps,13.99 Mbps,344.06 ms
1712,Russian Federation,Petrozavodsk,CityLink Ltd,8.11 Mbps,14.5 Mbps,328.23 ms
2621,Russian Federation,Petrozavodsk,Rostelecom,6.12 Mbps,15.69 Mbps,304.15 ms
5966,Russian Federation,Petrozavodsk,Svyazservice LTD,57.73 Mbps,13.04 Mbps,336.56 ms
8656,Russian Federation,Sortavala,CityLink Ltd,9.69 Mbps,10.33 Mbps,297.29 ms
10343,Finland,Mikkeli,MPY Palvelut Oyj,6.76 Mbps,13.37 Mbps,327.91 ms
15435,Russian Federation,Syktyvkar,Rostelecom,19.58 Mbps,14.5 Mbps,298.63 ms
10552,Russian Federation,Syktyvkar,I,Way,8.36 Mbps,11.78 Mbps,441.94 ms
3173,Russian Federation,Syktyvkar,"CJSC ""SeverTransTeleCom""",25.01 Mbps,12.42 Mbps,364.22 ms
5055,Finland,Tampere,Elmo,5.92 Mbps,7.83 Mbps,362.95 ms
899,Norway,Forde,Enivest AS,5.78 Mbps,12.34 Mbps,373.87 ms
2313,Russian Federation,Surgut,METROSET,5.53 Mbps,10.43 Mbps,364.6 ms
23428,Russia,Surgut,Rostelecom,27.03 Mbps,26.32 Mbps,206.83 ms
7964,Russian Federation,Kotlas,OOO Internet29,4.73 Mbps,9.83 Mbps,377.24 ms
16182,Norway,Sogndal,Sognenett AS,14.18 Mbps,10.36 Mbps,380.19 ms
980,United States,"Anchorage, AK",Alaska Communications,47.6 Mbps,10.63 Mbps,392.37 ms
